price,vehicle_type,registration_year,transmission_type,power_ps,kilometer,fuel_type,brand,unrepaired_damage,vehicle_age
7999,sedan,2006,manual,150,125000,petrol,BMW,no,10
1900,Unknown,2000,Unknown,113,150000,other,BMW,unknown,16
7500,station wagon,2011,manual,163,150000,diesel,Mazda,no,5
6299,station wagon,2002,manual,163,150000,lpg,Audi,no,14
36000,sedan,2012,automatic,385,40000,petrol,Jaguar,no,4
1000,station wagon,1997,manual,110,150000,diesel,Volkswagen,no,19
800,van,2000,manual,63,125000,petrol,Mazda,yes,16
13500,convertible,2008,automatic,200,125000,petrol,Audi,unknown,8
4500,van,2007,manual,143,90000,diesel,Mazda,yes,9
600,Unknown,2016,Unknown,113,150000,other,Toyota,unknown,0
3799,small car,2004,manual,65,70000,petrol,Nissan,no,12
12000,van,2001,manual,151,150000,diesel,Volkswagen,no,15
20999,sedan,2011,automatic,204,150000,diesel,BMW,no,5
550,small car,2001,manual,85,150000,diesel,Fiat,unknown,15
3500,van,2003,manual,109,150000,diesel,Mercedes_Benz,no,13
3399,sedan,2006,manual,75,125000,petrol,Seat,no,10
1300,van,2000,manual,145,150000,petrol,Ford,yes,16
1200,station wagon,1992,manual,116,150000,petrol,Audi,no,24
999,small car,1996,manual,75,150000,petrol,Volkswagen,no,20
18700,station wagon,2013,manual,140,60000,diesel,Volkswagen,no,3
2300,coupe,2001,manual,179,150000,petrol,Audi,yes,15
7350,small car,2012,manual,101,80000,petrol,Opel,no,4
4700,sedan,2005,manual,163,150000,diesel,Audi,no,11
2999,convertible,2004,manual,109,150000,petrol,Peugeot,no,12
18900,sedan,2013,automatic,122,30000,petrol,Volkswagen,no,3
1100,station wagon,2002,manual,127,5000,diesel,Ford,unknown,14
9990,station wagon,2007,manual,170,90000,diesel,Skoda,no,9
6700,suv,2003,automatic,250,150000,diesel,Mercedes_Benz,no,13
3100,sedan,2006,Unknown,113,150000,diesel,Volkswagen,no,10
4000,van,2005,manual,105,100000,petrol,Seat,no,11
6990,convertible,2008,manual,120,125000,petrol,Peugeot,no,8
1950,small car,2003,manual,113,90000,petrol,Volkswagen,no,13
1790,station wagon,2002,manual,126,125000,diesel,Nissan,no,14
11900,sedan,2009,manual,160,100000,petrol,Audi,no,7
2900,sedan,2004,manual,163,150000,diesel,Skoda,no,12
10000,suv,2005,automatic,163,150000,diesel,Mercedes_Benz,no,11
32000,sedan,2008,automatic,183,70000,petrol,Mercedes_Benz,no,8
8500,Unknown,2016,manual,81,90000,diesel,Opel,unknown,0
1499,van,1995,manual,113,150000,petrol,Subaru,yes,21
7750,sedan,2009,manual,174,125000,petrol,Peugeot,no,7
18300,van,2015,manual,125,20000,petrol,Ford,unknown,1
11490,sedan,2003,automatic,113,125000,petrol,Mercedes_Benz,unknown,13
5400,suv,2008,manual,141,60000,diesel,Sonstige_Autos,no,8
2600,sedan,2002,manual,163,150000,petrol,Mercedes_Benz,no,14
29950,station wagon,2013,automatic,177,50000,diesel,Audi,no,3
9655,sedan,2006,automatic,224,150000,diesel,Mercedes_Benz,unknown,10
799,station wagon,1997,manual,75,150000,petrol,Opel,no,19
600,Unknown,2000,manual,60,125000,petrol,Volkswagen,unknown,16
500,small car,1996,manual,60,125000,petrol,Volkswagen,yes,20
550,sedan,1997,manual,80,100000,petrol,Kia,no,19
2450,sedan,2002,manual,140,125000,petrol,Renault,no,14
3250,convertible,2000,manual,116,150000,petrol,Volkswagen,no,16
4499,suv,2005,automatic,163,150000,diesel,Sonstige_Autos,no,11
31000,coupe,1992,manual,239,150000,petrol,Porsche,no,24
3950,van,1998,manual,102,150000,diesel,Volkswagen,no,18
23900,van,2012,automatic,113,30000,petrol,Volkswagen,unknown,4
12400,station wagon,2010,manual,136,150000,diesel,Mercedes_Benz,no,6
1500,small car,2003,manual,75,150000,petrol,Opel,no,13
18800,small car,2013,manual,184,30000,petrol,MINI,no,3
50500,sedan,2012,automatic,560,100000,petrol,BMW,no,4
11000,suv,2008,manual,239,150000,diesel,Volkswagen,yes,8
4900,small car,2009,manual,95,125000,petrol,Fiat,no,7
600,sedan,1997,manual,90,150000,petrol,Citroen,yes,19
13950,sedan,2008,manual,143,125000,diesel,Audi,no,8
15000,sedan,1972,manual,95,80000,petrol,Mercedes_Benz,no,44
21959,sedan,2011,automatic,170,125000,diesel,Mercedes_Benz,no,5
1700,station wagon,2000,automatic,101,150000,petrol,Volkswagen,unknown,16
890,small car,1999,manual,113,100000,petrol,Fiat,no,17
11590,station wagon,2008,manual,120,80000,other,Audi,no,8
2000,van,2000,manual,88,150000,diesel,Volkswagen,no,16
14000,station wagon,2005,automatic,344,150000,petrol,Audi,no,11
13800,coupe,1972,Unknown,113,20000,other,Sonstige_Autos,no,44
9990,station wagon,2007,automatic,232,150000,diesel,Audi,no,9
4699,van,2003,manual,136,150000,diesel,Volkswagen,no,13
2600,sedan,2005,manual,75,150000,petrol,Mitsubishi,no,11
700,small car,1999,manual,113,150000,petrol,Peugeot,no,17
1790,convertible,2004,automatic,135,150000,petrol,Renault,yes,12
1499,small car,1999,Unknown,113,150000,petrol,Smart,no,17
4490,small car,2009,manual,73,100000,petrol,Peugeot,no,7
1490,small car,2001,manual,75,150000,petrol,Renault,no,15
7200,station wagon,2008,manual,179,150000,petrol,Audi,no,8
900,station wagon,1999,manual,60,150000,petrol,Volkswagen,unknown,17
850,station wagon,1998,manual,75,150000,petrol,Opel,no,18
7399,station wagon,2007,manual,129,125000,petrol,Toyota,no,9
800,sedan,2004,manual,131,150000,diesel,Ford,unknown,12
999,station wagon,2003,manual,113,150000,diesel,Ford,unknown,13
17800,van,2014,Unknown,113,40000,other,Opel,no,2
2650,small car,2003,manual,103,125000,petrol,Fiat,no,13
24300,sedan,2012,automatic,184,150000,diesel,BMW,no,4
3300,small car,2006,manual,95,125000,petrol,Fiat,no,10
1950,Unknown,1996,manual,102,150000,other,BMW,no,20
4200,other,2007,manual,160,150000,diesel,Fiat,yes,9
1150,sedan,1999,manual,113,150000,other,Renault,no,17
56500,convertible,2012,manual,436,30000,petrol,Chevrolet,no,4
1600,sedan,2003,manual,80,125000,other,Mazda,no,13
1200,small car,1993,manual,113,150000,petrol,Volkswagen,no,23
750,Unknown,2000,manual,102,150000,other,BMW,unknown,16
1850,sedan,2000,manual,75,150000,petrol,Volkswagen,no,16
4800,convertible,2004,automatic,90,80000,petrol,Opel,no,12
3400,small car,2004,manual,65,125000,petrol,Nissan,no,12
3000,small car,2007,automatic,68,150000,petrol,Peugeot,no,9
1800,sedan,1988,manual,211,150000,petrol,BMW,no,28
11900,convertible,2008,automatic,179,150000,diesel,Audi,no,8
890,van,2002,automatic,113,150000,diesel,Kia,unknown,14
26300,convertible,2006,automatic,245,40000,petrol,Porsche,no,10
2950,station wagon,2003,manual,125,150000,diesel,Opel,no,13
15000,van,2013,automatic,140,150000,diesel,Volkswagen,no,3
1200,station wagon,2000,manual,116,150000,petrol,Ford,no,16
1600,small car,1999,manual,101,150000,petrol,Volkswagen,yes,17
8900,coupe,1989,Unknown,160,150000,petrol,Porsche,unknown,27
5200,small car,2010,manual,65,40000,petrol,Nissan,no,6
2400,van,2001,Unknown,113,100000,petrol,Opel,no,15
4500,small car,2009,Unknown,113,80000,petrol,Ford,no,7
1600,convertible,1996,manual,75,100000,petrol,Opel,unknown,20
3150,small car,2005,manual,68,150000,diesel,Ford,no,11
32950,van,2015,manual,140,10000,diesel,Volkswagen,no,1
2900,suv,1997,manual,128,150000,petrol,Toyota,no,19
16700,coupe,2008,manual,239,150000,diesel,Audi,no,8
2400,sedan,1999,manual,116,150000,petrol,Volkswagen,no,17
8500,suv,2005,automatic,241,150000,petrol,Volkswagen,no,11
6950,sedan,2008,manual,136,125000,diesel,Volvo,no,8
10500,sedan,2006,automatic,224,150000,diesel,Volkswagen,no,10
22490,station wagon,2014,automatic,136,40000,diesel,Hyundai,no,2
8500,station wagon,2003,automatic,113,150000,petrol,Mercedes_Benz,unknown,13
3699,van,2003,manual,113,150000,diesel,Volkswagen,no,13
17200,convertible,1996,automatic,231,90000,petrol,Mercedes_Benz,no,20
3500,sedan,2000,manual,143,150000,diesel,Mercedes_Benz,unknown,16
7100,small car,2012,manual,75,80000,petrol,Dacia,no,4
1000,sedan,2002,manual,75,125000,petrol,Hyundai,no,14
24890,station wagon,2012,automatic,245,125000,diesel,Audi,no,4
7300,station wagon,2007,manual,136,150000,diesel,Ford,no,9
1999,sedan,2003,manual,75,150000,petrol,Peugeot,no,13
1200,suv,1973,automatic,250,150000,petrol,Chevrolet,no,43
3200,sedan,2002,manual,105,90000,petrol,Volkswagen,no,14
5200,sedan,2007,manual,150,100000,lpg,Chrysler,no,9
19990,station wagon,2011,automatic,325,125000,petrol,Opel,no,5
1400,station wagon,2004,manual,131,150000,diesel,Ford,no,12
15899,sedan,2009,automatic,239,150000,diesel,Volkswagen,no,7
1450,station wagon,1994,manual,75,150000,petrol,Volkswagen,no,22
4250,Unknown,2016,manual,131,150000,other,Volkswagen,unknown,0
2450,station wagon,2001,manual,90,150000,diesel,Ford,no,15
7900,small car,2013,manual,68,30000,cng,Volkswagen,no,3
1500,sedan,2000,manual,75,125000,petrol,Honda,no,16
2400,convertible,2003,manual,109,125000,petrol,Peugeot,no,13
3000,convertible,2004,Unknown,113,150000,petrol,Mazda,no,12
850,small car,2001,manual,113,150000,petrol,Opel,no,15
799,station wagon,1999,manual,131,150000,diesel,Opel,no,17
8995,small car,2013,automatic,84,30000,petrol,Smart,no,3
16500,suv,2009,automatic,235,150000,diesel,BMW,unknown,7
1470,small car,1999,manual,110,5000,diesel,Audi,no,17
11800,station wagon,2008,automatic,177,150000,diesel,BMW,unknown,8
18299,station wagon,2012,manual,177,100000,diesel,Audi,no,4
1350,small car,1999,manual,75,150000,petrol,Renault,unknown,17
12850,suv,2012,automatic,197,150000,diesel,Kia,no,4
1599,convertible,2002,Unknown,113,125000,petrol,Smart,no,14
2000,sedan,2001,manual,133,100000,petrol,Chrysler,no,15
18499,small car,2014,manual,90,20000,diesel,Audi,no,2
7300,small car,2011,automatic,71,50000,petrol,Smart,unknown,5
1500,small car,2003,manual,113,150000,petrol,Opel,yes,13
1000,sedan,1993,manual,90,150000,petrol,Audi,no,23
900,sedan,1996,automatic,115,100000,other,Opel,no,20
4750,small car,2007,manual,90,125000,petrol,Opel,no,9
500,Unknown,2000,Unknown,113,100000,other,Sonstige_Autos,unknown,16
3100,small car,1998,Unknown,75,150000,petrol,Volkswagen,no,18
1600,sedan,1999,manual,116,150000,petrol,Ford,no,17
18800,convertible,2011,manual,204,70000,petrol,BMW,no,5
9850,van,2011,manual,111,60000,diesel,Citroen,no,5
1190,station wagon,2003,manual,120,150000,diesel,Renault,unknown,13
14500,convertible,1996,automatic,136,150000,petrol,Mercedes_Benz,no,20
8990,coupe,2009,manual,160,150000,petrol,Volkswagen,no,7
999,sedan,1997,manual,125,150000,petrol,Audi,no,19
13990,convertible,2010,manual,174,80000,petrol,MINI,no,6
12900,station wagon,2009,manual,170,150000,diesel,Mercedes_Benz,no,7
3699,sedan,2006,manual,75,150000,petrol,Volkswagen,no,10
1000,Unknown,2016,manual,113,150000,petrol,Opel,unknown,0
11500,suv,2007,automatic,260,100000,petrol,Sonstige_Autos,no,9
16800,station wagon,2010,automatic,170,125000,diesel,Mercedes_Benz,no,6
2999,coupe,1998,manual,136,150000,lpg,Mercedes_Benz,no,18
600,sedan,1994,manual,116,150000,petrol,Audi,yes,22
1200,station wagon,2001,manual,136,150000,diesel,BMW,unknown,15
1600,station wagon,1999,Unknown,113,150000,petrol,Opel,no,17
5000,sedan,2001,manual,90,150000,diesel,Volkswagen,no,15
10998,sedan,2005,automatic,150,125000,diesel,Mercedes_Benz,no,11
1800,sedan,1997,manual,125,150000,petrol,Audi,no,19
1250,small car,2003,manual,60,150000,petrol,Fiat,unknown,13
2800,Unknown,2016,manual,109,150000,other,Ford,unknown,0
8499,station wagon,2011,manual,105,150000,diesel,Volkswagen,no,5
5800,coupe,2003,manual,231,150000,petrol,BMW,no,13
1390,sedan,1999,manual,125,150000,diesel,Mercedes_Benz,no,17
10990,van,2008,automatic,140,150000,diesel,Ford,no,8
13490,coupe,2010,manual,143,125000,diesel,BMW,no,6
1650,small car,1998,manual,75,150000,petrol,Volkswagen,no,18
580,station wagon,1998,manual,101,150000,petrol,Volkswagen,yes,18
1199,small car,2001,manual,82,150000,petrol,Nissan,no,15
649,small car,1995,manual,113,125000,petrol,Ford,yes,21
730,small car,2003,manual,83,150000,lpg,Daewoo,no,13
6500,Unknown,2005,automatic,218,150000,diesel,BMW,no,11
500,small car,1998,manual,75,150000,other,Peugeot,yes,18
21999,small car,2014,automatic,185,20000,petrol,Audi,no,2
5500,station wagon,2009,manual,239,150000,diesel,Audi,no,7
1000,other,2000,manual,115,150000,petrol,Ford,unknown,16
12000,suv,2004,automatic,231,150000,petrol,BMW,no,12
2950,sedan,2000,manual,101,150000,petrol,Audi,no,16
4555,sedan,2003,manual,116,150000,diesel,Toyota,no,13
12800,suv,2009,manual,173,125000,diesel,Mazda,no,7
7650,suv,2006,manual,129,150000,diesel,Suzuki,no,10
4500,small car,2005,manual,92,150000,lpg,Suzuki,no,11
4950,van,2005,manual,101,125000,diesel,Opel,no,11
1250,small car,2000,manual,101,150000,petrol,Mercedes_Benz,no,16
760,small car,2005,manual,60,125000,petrol,Ford,no,11
21500,coupe,2008,automatic,286,150000,diesel,BMW,no,8
3099,small car,2007,Unknown,61,90000,petrol,Smart,no,9
3100,sedan,1998,automatic,193,150000,petrol,BMW,no,18
12990,sedan,2007,automatic,190,150000,diesel,Audi,no,9
13000,suv,2009,manual,150,40000,petrol,Volkswagen,no,7
650,sedan,1999,manual,75,150000,petrol,Opel,no,17
1200,sedan,1998,manual,75,150000,petrol,Volkswagen,no,18
600,Unknown,2016,manual,75,150000,petrol,Mitsubishi,unknown,0
6699,Unknown,2005,manual,200,150000,other,Volkswagen,unknown,11
750,station wagon,1999,manual,113,150000,petrol,Ford,unknown,17
4999,sedan,2006,manual,75,150000,petrol,Volkswagen,no,10
9900,van,1999,manual,102,150000,diesel,Volkswagen,no,17
950,station wagon,1996,manual,74,5000,other,Volkswagen,unknown,20
1500,station wagon,2005,manual,100,150000,diesel,Ford,yes,11
3300,other,2003,manual,110,150000,diesel,Mercedes_Benz,no,13
15500,sedan,2013,manual,105,40000,diesel,Volkswagen,no,3
1300,sedan,2000,manual,75,150000,petrol,Volkswagen,no,16
7750,small car,2012,manual,75,30000,petrol,Seat,no,4
3000,station wagon,2004,manual,136,150000,diesel,Volkswagen,no,12
1100,small car,2001,manual,95,150000,petrol,Ford,no,15
2900,station wagon,2005,manual,109,125000,petrol,Peugeot,no,11
3199,sedan,1998,manual,75,60000,petrol,Volkswagen,no,18
42999,van,2013,automatic,224,50000,other,Mercedes_Benz,no,3
5200,sedan,2006,manual,95,125000,petrol,Mercedes_Benz,no,10
790,sedan,2002,manual,116,150000,petrol,BMW,yes,14
7200,sedan,1967,manual,113,100000,petrol,Volkswagen,unknown,49
2550,coupe,1992,manual,95,150000,petrol,Volkswagen,no,24
11299,station wagon,2008,Unknown,113,150000,diesel,Audi,no,8
1299,sedan,1998,manual,101,150000,petrol,Opel,no,18
3200,station wagon,2005,Unknown,113,150000,diesel,Toyota,no,11
500,sedan,1996,manual,75,125000,petrol,Nissan,no,20
10500,sedan,2009,Unknown,113,50000,petrol,Volkswagen,no,7
6000,van,2003,automatic,109,150000,diesel,Mercedes_Benz,no,13
3850,Unknown,2016,manual,101,150000,diesel,Volkswagen,unknown,0
8000,station wagon,2009,automatic,143,150000,petrol,BMW,no,7
2300,small car,2004,manual,65,125000,petrol,Kia,no,12
4700,small car,2006,manual,102,150000,petrol,Volkswagen,yes,10
950,small car,2002,manual,109,150000,petrol,Peugeot,yes,14
4900,convertible,2000,manual,110,90000,petrol,Mazda,no,16
1150,small car,2001,manual,60,150000,petrol,Seat,no,15
1580,van,2002,Unknown,82,150000,diesel,Mercedes_Benz,no,14
9700,sedan,2005,manual,200,150000,petrol,Volkswagen,no,11
4950,van,2004,automatic,105,150000,diesel,Volkswagen,no,12
590,station wagon,1998,manual,116,150000,petrol,Opel,no,18
11000,sedan,2009,automatic,110,70000,petrol,Audi,no,7
7450,sedan,2004,manual,140,150000,diesel,Audi,no,12
6600,van,2005,manual,131,150000,diesel,Ford,no,11
3100,van,2005,automatic,150,150000,diesel,Renault,no,11
1250,sedan,1976,Unknown,113,60000,petrol,Trabant,unknown,40
15999,coupe,2011,automatic,239,150000,diesel,Audi,no,5
14300,suv,2008,automatic,224,150000,diesel,Mercedes_Benz,no,8
10499,station wagon,2007,manual,218,150000,diesel,Audi,unknown,9
5500,van,2007,manual,131,150000,diesel,Volkswagen,yes,9
1150,sedan,2002,Unknown,95,150000,diesel,Mercedes_Benz,yes,14
5200,station wagon,2003,automatic,143,150000,petrol,Mercedes_Benz,no,13
3300,sedan,2001,manual,125,150000,petrol,Mercedes_Benz,no,15
999,sedan,1998,automatic,101,150000,petrol,Opel,no,18
17695,small car,2015,manual,102,5000,petrol,MINI,no,1
1200,sedan,1999,automatic,110,150000,diesel,Volkswagen,no,17
7499,small car,2009,manual,150,150000,petrol,Opel,no,7
2500,small car,2004,manual,70,150000,other,Ford,unknown,12
700,station wagon,2001,manual,147,150000,petrol,Opel,unknown,15
699,station wagon,2000,manual,81,150000,petrol,Mitsubishi,no,16
3150,small car,2007,manual,80,150000,lpg,Opel,no,9
11200,station wagon,2008,automatic,177,150000,diesel,BMW,no,8
10250,Unknown,2009,manual,110,100000,diesel,Volkswagen,unknown,7
10350,sedan,2011,manual,140,150000,diesel,Volkswagen,no,5
2290,station wagon,2005,manual,101,150000,diesel,Volkswagen,no,11
950,station wagon,2001,Unknown,113,150000,petrol,Renault,unknown,15
1750,small car,2005,manual,113,150000,petrol,Volkswagen,no,11
4799,sedan,1999,automatic,225,150000,petrol,Mercedes_Benz,unknown,17
3700,station wagon,2006,manual,116,150000,diesel,Ford,no,10
1750,station wagon,2004,manual,120,150000,other,Renault,no,12
19998,station wagon,2012,automatic,204,150000,diesel,Audi,no,4
1999,station wagon,2003,manual,107,150000,diesel,Peugeot,no,13
4900,van,1997,manual,122,150000,diesel,Mercedes_Benz,yes,19
600,Unknown,1990,automatic,69,125000,petrol,Volkswagen,no,26
7800,van,2006,manual,140,150000,diesel,Volkswagen,no,10
2850,station wagon,2005,manual,90,150000,petrol,Opel,no,11
12000,sedan,2010,manual,211,150000,petrol,Volkswagen,no,6
1000,small car,1999,manual,101,5000,petrol,Audi,yes,17
3699,sedan,2004,automatic,122,150000,diesel,Mercedes_Benz,no,12
1300,sedan,2005,manual,64,125000,petrol,Seat,yes,11
23900,sedan,2011,automatic,286,125000,diesel,BMW,yes,5
500,coupe,1999,manual,102,150000,petrol,BMW,yes,17
11500,station wagon,2007,automatic,170,125000,diesel,Volkswagen,unknown,9
550,coupe,2002,manual,125,5000,petrol,Ford,unknown,14
2850,sedan,1995,manual,150,150000,petrol,BMW,no,21
550,Unknown,2016,manual,113,150000,petrol,Mazda,yes,0
590,small car,1999,manual,113,150000,petrol,Opel,no,17
1000,sedan,1998,manual,101,150000,petrol,Volkswagen,yes,18
700,sedan,1997,manual,75,150000,petrol,Volkswagen,no,19
1050,station wagon,1996,manual,90,150000,petrol,Volkswagen,no,20
33900,station wagon,2014,automatic,204,40000,diesel,Audi,no,2
6000,sedan,2010,automatic,160,100000,diesel,Opel,no,6
750,small car,1996,manual,113,150000,petrol,Opel,no,20
790,sedan,1995,manual,84,150000,petrol,Suzuki,no,21
599,sedan,1993,manual,90,150000,petrol,Audi,no,23
2450,small car,2003,manual,113,150000,petrol,Volkswagen,no,13
10999,sedan,2011,manual,140,40000,petrol,Honda,no,5
42900,sedan,2010,automatic,517,125000,petrol,Mercedes_Benz,no,6
800,Unknown,2016,manual,75,150000,petrol,Volkswagen,unknown,0
999,van,2000,manual,116,150000,diesel,Chrysler,unknown,16
7800,station wagon,2007,manual,230,150000,other,Audi,unknown,9
690,small car,1999,manual,60,150000,petrol,Volkswagen,no,17
600,station wagon,1998,manual,75,150000,petrol,Volkswagen,no,18
3999,sedan,2003,manual,105,80000,petrol,Volkswagen,no,13
52900,convertible,2012,manual,315,20000,petrol,Porsche,no,4
2000,station wagon,1998,manual,101,125000,petrol,Audi,yes,18
700,station wagon,1998,manual,75,150000,petrol,Opel,no,18
15900,convertible,2007,automatic,163,90000,petrol,Mercedes_Benz,no,9
4300,convertible,2002,manual,136,80000,petrol,Peugeot,no,14
3850,sedan,2005,manual,105,100000,petrol,Opel,no,11
5900,small car,2013,manual,69,10000,petrol,Hyundai,no,3
1500,sedan,1994,manual,102,150000,petrol,BMW,no,22
2100,other,1999,automatic,105,100000,petrol,BMW,no,17
18000,station wagon,2009,automatic,231,70000,petrol,Mercedes_Benz,no,7
1250,small car,1994,manual,113,150000,petrol,Volkswagen,no,22
3600,sedan,2004,manual,105,150000,petrol,Seat,no,12
3999,small car,2009,manual,75,90000,petrol,Mitsubishi,no,7
2850,van,2001,manual,101,150000,diesel,Ford,no,15
6450,Unknown,2016,Unknown,113,70000,other,Renault,unknown,0
1500,sedan,1996,automatic,101,150000,petrol,Audi,no,20
20900,station wagon,2012,manual,184,150000,diesel,BMW,no,4
3990,sedan,2004,manual,113,20000,diesel,Volkswagen,unknown,12
4800,station wagon,2005,manual,105,150000,petrol,Opel,no,11
650,sedan,1990,manual,113,150000,petrol,Sonstige_Autos,unknown,26
5999,van,2007,manual,95,150000,diesel,Mercedes_Benz,no,9
5299,sedan,2004,manual,105,150000,diesel,Volkswagen,no,12
15500,suv,2010,automatic,184,150000,diesel,Hyundai,unknown,6
5555,convertible,2009,automatic,113,125000,diesel,Smart,no,7
5500,sedan,2007,manual,105,150000,diesel,Volkswagen,unknown,9
3000,Unknown,1985,manual,113,150000,petrol,Volkswagen,unknown,31
1200,station wagon,2003,manual,121,150000,other,Mazda,yes,13
8000,Unknown,2016,manual,122,80000,petrol,BMW,no,0
12500,coupe,1999,manual,370,150000,petrol,Audi,unknown,17
4500,coupe,1998,manual,170,150000,petrol,BMW,unknown,18
13000,suv,2002,automatic,360,125000,petrol,Chevrolet,no,14
4300,Unknown,2006,manual,105,150000,diesel,Volkswagen,unknown,10
2800,station wagon,2005,manual,155,150000,diesel,Ford,no,11
8250,sedan,2006,automatic,170,150000,diesel,Volkswagen,no,10
14490,sedan,2012,manual,131,70000,diesel,Nissan,no,4
1800,van,2004,automatic,113,150000,diesel,Kia,yes,12
1250,Unknown,2016,manual,109,150000,petrol,Citroen,no,0
1400,small car,2001,automatic,75,125000,petrol,Renault,yes,15
2650,sedan,2001,manual,113,20000,petrol,Opel,no,15
6900,sedan,2003,manual,224,150000,petrol,Seat,no,13
11500,suv,2005,automatic,163,90000,diesel,Mercedes_Benz,unknown,11
24500,station wagon,2012,manual,184,40000,petrol,Mercedes_Benz,no,4
12699,station wagon,2009,automatic,190,150000,diesel,Audi,no,7
16800,van,2008,manual,131,150000,diesel,Volkswagen,no,8
5800,convertible,2009,automatic,71,70000,petrol,Smart,no,7
